season,game_date,game_pk,market,side,home_team,away_team,bet_odds_timestamp,bet_snapshot_source,bet_price,wager_price,selected_open_price
2024,2024-07-13,745392,ML,HOME,San Diego Padres,Atlanta Braves,2024-07-13 12:00:00+00:00,HistoricalBasic,110.0,110.0,110.0
2024,2024-07-13,745311,ML,HOME,San Francisco Giants,Minnesota Twins,2024-07-13 12:00:00+00:00,HistoricalBasic,-102.0,-102.0,-102.0
2024,2024-07-19,746854,ML,HOME,Chicago Cubs,Arizona Diamondbacks,2024-07-19 12:00:00+00:00,HistoricalBasic,106.0,106.0,106.0
2024,2024-07-19,746618,ML,HOME,Cleveland Guardians,San Diego Padres,2024-07-19 12:00:00+00:00,HistoricalBasic,-108.0,-108.0,-108.0
2024,2024-07-20,747096,ML,AWAY,Atlanta Braves,St. Louis Cardinals,2024-07-20 12:00:00+00:00,HistoricalBasic,126.0,126.0,126.0
2024,2024-07-20,746121,ML,HOME,Los Angeles Dodgers,Boston Red Sox,2024-07-20 12:00:00+00:00,HistoricalBasic,-138.0,-138.0,-138.0
2024,2024-07-21,744991,ML,HOME,Texas Rangers,Baltimore Orioles,2024-07-21 12:00:00+00:00,HistoricalBasic,106.0,106.0,106.0
2024,2024-07-21,746610,ML,HOME,Cleveland Guardians,San Diego Padres,2024-07-21 12:00:00+00:00,HistoricalBasic,106.0,106.0,106.0
2024,2024-07-21,746125,ML,HOME,Los Angeles Dodgers,Boston Red Sox,2024-07-21 12:00:00+00:00,HistoricalBasic,-112.0,-112.0,-112.0
2024,2024-07-23,746118,ML,HOME,Los Angeles Dodgers,San Francisco Giants,2024-07-23 12:00:00+00:00,HistoricalBasic,-130.0,-130.0,-130.0
2024,2024-07-26,746200,ML,HOME,Los Angeles Angels,Oakland Athletics,2024-07-26 12:00:00+00:00,HistoricalBasic,114.0,114.0,114.0
2024,2024-07-26,745792,ML,HOME,New York Mets,Atlanta Braves,2024-07-26 12:00:00+00:00,HistoricalBasic,-110.0,-110.0,-110.0
2024,2024-07-27,746446,ML,AWAY,Detroit Tigers,Minnesota Twins,2024-07-27 12:00:00+00:00,HistoricalBasic,106.0,106.0,106.0
2024,2024-07-27,745793,ML,HOME,New York Mets,Atlanta Braves,2024-07-27 12:00:00+00:00,HistoricalBasic,-108.0,-108.0,-108.0
2024,2024-07-30,745787,ML,AWAY,New York Mets,Minnesota Twins,2024-07-30 12:00:00+00:00,HistoricalBasic,112.0,112.0,112.0
2024,2024-07-31,745148,ML,AWAY,St. Louis Cardinals,Texas Rangers,2024-07-31 12:00:00+00:00,HistoricalBasic,130.0,130.0,130.0
2024,2024-07-31,746925,ML,HOME,Boston Red Sox,Seattle Mariners,2024-07-31 12:00:00+00:00,HistoricalBasic,106.0,106.0,106.0
2024,2024-08-02,744986,ML,HOME,Texas Rangers,Boston Red Sox,2024-08-02 12:00:00+00:00,HistoricalBasic,106.0,106.0,106.0
2024,2024-08-02,746679,ML,AWAY,Cincinnati Reds,San Francisco Giants,2024-08-02 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-08-04,745384,ML,HOME,San Diego Padres,Colorado Rockies,2024-08-04 12:00:00+00:00,HistoricalBasic,-144.0,-144.0,-144.0
2024,2024-08-05,744982,ML,HOME,Texas Rangers,Houston Astros,2024-08-05 12:00:00+00:00,HistoricalBasic,108.0,108.0,108.0
2024,2024-08-08,747169,ML,HOME,Arizona Diamondbacks,Philadelphia Phillies,2024-08-08 12:00:00+00:00,HistoricalBasic,-104.0,-104.0,-104.0
2024,2024-08-10,747164,ML,HOME,Arizona Diamondbacks,Philadelphia Phillies,2024-08-10 12:00:00+00:00,HistoricalBasic,-104.0,-104.0,-104.0
2024,2024-08-11,745872,ML,HOME,Minnesota Twins,Cleveland Guardians,2024-08-11 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-08-11,745057,ML,HOME,Tampa Bay Rays,Baltimore Orioles,2024-08-11 12:00:00+00:00,HistoricalBasic,110.0,110.0,110.0
2024,2024-08-13,745302,ML,HOME,San Francisco Giants,Atlanta Braves,2024-08-13 12:00:00+00:00,HistoricalBasic,104.0,104.0,104.0
2024,2024-08-13,745867,ML,HOME,Minnesota Twins,Kansas City Royals,2024-08-13 12:00:00+00:00,HistoricalBasic,-102.0,-102.0,-102.0
2024,2024-08-14,745869,ML,AWAY,Minnesota Twins,Kansas City Royals,2024-08-14 12:00:00+00:00,HistoricalBasic,110.0,110.0,110.0
2024,2024-08-16,744974,ML,HOME,Texas Rangers,Minnesota Twins,2024-08-16 12:00:00+00:00,HistoricalBasic,-104.0,-104.0,-104.0
2024,2024-08-16,746843,ML,HOME,Chicago Cubs,Toronto Blue Jays,2024-08-16 12:00:00+00:00,HistoricalBasic,-106.0,-106.0,-106.0
2024,2024-08-17,745952,ML,HOME,Milwaukee Brewers,Cleveland Guardians,2024-08-17 12:00:00+00:00,HistoricalBasic,-104.0,-104.0,-104.0
